Llave,Fecha,Año,Mes,Dia,Semana,Region,Gerencia,Origen,Producto,DescrProducto,AgrupProducto,Presentacion,OOS,DescrProductoSAP,Marca,Fisico,Transito,PVD_Plan,PVD_Real,DiasInv,Vol_AcumPlan,Vol_AcumReal,OOS_Ajustado,FechaCarga,TipoUN,TipoMov
1MoreliaMultiplast 40k,45047,2023,5,1,45047,Centro,Michoacan,Morelia,10003053,Multiplast 40k,Especial,Sacos,0,Multiplast sacos 40.0 Kg,CEMEX,268.72,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1MoreliaBco CPC30R 50k,45047,2023,5,1,45047,Centro,Michoacan,Morelia,10042668,Bco CPC30R 50k,Blanco,Sacos,0,Blanco CPC 30 R Cemex 50Kg,CEMEX,257.95,63,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1MoreliaBco CPC30R 25k,45047,2023,5,1,45047,Centro,Michoacan,Morelia,10042669,Bco CPC30R 25k,Blanco,Sacos,0,Blanco CPC 30 R Cemex 25Kg,CEMEX,240.13,61.6,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NaucalpanMortero 50k,45047,2023,5,1,45047,Centro,Metro,Naucalpan,10000920,Mortero 50k,Mortero,Sacos,0,Mortero Tolteca 50.0 Kg.,TOLTECA,103.7,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NaucalpanCPC30R 50k,45047,2023,5,1,45047,Centro,Metro,Naucalpan,10001368,CPC30R 50k,Gris,Sacos,0,Gris CPC30R RS Tolteca Extra 50Kg,TOLTECA,188.25,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NaucalpanMultiplast 40k,45047,2023,5,1,45047,Centro,Metro,Naucalpan,10003053,Multiplast 40k,Especial,Sacos,0,Multiplast sacos 40.0 Kg,CEMEX,16.08,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NaucalpanBco CPC30R 50k,45047,2023,5,1,45047,Centro,Metro,Naucalpan,10042668,Bco CPC30R 50k,Blanco,Sacos,0,Blanco CPC 30 R Cemex 50Kg,CEMEX,20.15,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NaucalpanBco CPC30R 25k,45047,2023,5,1,45047,Centro,Metro,Naucalpan,10042669,Bco CPC30R 25k,Blanco,Sacos,0,Blanco CPC 30 R Cemex 25Kg,CEMEX,17.7,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NavojoaBco CPC30R,45047,2023,5,1,45047,Pacífico,Sonora-Sinaloa,Navojoa,10000000,Bco CPC30R,Blanco,Granel,0,Blanco CPC30RB,-,1007.85,662.5,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NavojoaCPC40,45047,2023,5,1,45047,Pacífico,Sonora-Sinaloa,Navojoa,10000069,CPC40,Gris,Granel,0,Gris CPC40RS,-,383.07,192.4,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NavojoaMortero 50k,45047,2023,5,1,45047,Pacífico,Sonora-Sinaloa,Navojoa,10000919,Mortero 50k,Mortero,Sacos,0,Mortero Campana 50.0 Kg.,CAMPANA,15.45,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NavojoaMortero 25k,45047,2023,5,1,45047,Pacífico,Sonora-Sinaloa,Navojoa,10000921,Mortero 25k,Mortero,Sacos,0,Mortero Campana 25.0 Kg.,CAMPANA,14.3,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NavojoaCPC30R 50k,45047,2023,5,1,45047,Pacífico,Sonora-Sinaloa,Navojoa,10026273,CPC30R 50k,Gris,Sacos,0,Gris CPC30R Campana Extra  50 Kg.,CAMPANA,171.45,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
1NochixtlánCPC30R 50k,45047,2023,5,1,45047,Sureste,Oaxaca,Nochixtlán,10001368,CPC30R 50k,Gris,Sacos,0,Gris CPC30R RS Tolteca Extra 50Kg,TOLTECA,0,0,0,0,0,0,0,0,01/06/2023,Cemento,Abasto
