ID,Nombre,Lat,Long
1,Baja California,31.8466418,-116.5847691
2,Baja California Sur,25.5872003,-109.0612423
3,Centro Nte,20.3832951,-99.6867558
4,Golfo Norte,22.046562,-98.866824
5,Guanajuato,20.5515138,-100.8012781
6,Guerrero-Morelos,17.5516412,-98.5608232
7,Jalisco-Colima-Nayarit,19.6712659,-103.3781524
8,Laguna,25.4908844,-103.3999332
9,Metro,19.5774389,-99.2029245
10,Michoacan,19.024913,-102.0931127
11,Noreste,25.700466,-100.2992515
12,Oaxaca,17.7957056,-97.7826924
13,Peninsula,20.940101,-89.6637478
14,Puebla-Tlaxcala-Veracruz Centro,18.968469,-97.957465
15,Sonora-Sinaloa,28.9314424,-110.8232396
16,Veracruz Su-Tabasco-Chiapas,16.2221927,-92.1195282
