ID,Nombre,Lat,Long
AGAGES0001,Aguascalientes_Aguascalientes_Aguascalientes,21.8789,-102.3
AGAGES0106,Aguascalientes_Aguascalientes_Arellano,21.8006,-102.274
AGAGES0120,Aguascalientes_Aguascalientes_Buenavista de Pe±uelas,21.7172,-102.294
AGAGES0121,Aguascalientes_Aguascalientes_Cabecita 3 Marías (Rancho Nuevo),21.7747,-102.414
AGAGES0125,Aguascalientes_Aguascalientes_Ca±ada Grande de Cotorina,21.7822,-102.236
AGAGES0127,Aguascalientes_Aguascalientes_Los Ca±os,21.7817,-102.466
AGAGES0138,Aguascalientes_Aguascalientes_Centro de Arriba (El Taray),21.7308,-102.499
AGAGES0139,Aguascalientes_Aguascalientes_Cieneguilla (La Lumbrera),21.7322,-102.454
AGAGES0144,Aguascalientes_Aguascalientes_El Colorado (El Soyatal),21.9036,-102.168
AGAGES0170,Aguascalientes_Aguascalientes_Cuauhtémoc (Las Palomas),21.7556,-102.351
AGAGES0190,Aguascalientes_Aguascalientes_El Duraznillo,21.7808,-102.166
AGAGES0191,Aguascalientes_Aguascalientes_Los Durón,21.7667,-102.135
AGAGES0237,Aguascalientes_Aguascalientes_Jaltomate,22.0153,-102.144
AGAGES0239,Aguascalientes_Aguascalientes_Gral. José Ma. Morelos y Pavón (Ca±ada Honda),22.0011,-102.2
AGAGES0256,Aguascalientes_Aguascalientes_La Loma de los Negritos,21.87,-102.35
AGAGES0272,Aguascalientes_Aguascalientes_Matamoros,21.7875,-102.071
AGAGES0292,Aguascalientes_Aguascalientes_El Niágara (Rancho el Niágara),21.7797,-102.374
AGAGES0293,Aguascalientes_Aguascalientes_Norias de Ojocaliente,21.8881,-102.218
AGAGES0296,Aguascalientes_Aguascalientes_El Ocote,21.7811,-102.518
AGAGES0345,Aguascalientes_Aguascalientes_El Refugio de Pe±uelas,21.7247,-102.273
AGAGES0355,Aguascalientes_Aguascalientes_El Salto de los Salado,21.7558,-102.373
AGAGES0367,Aguascalientes_Aguascalientes_San Antonio de Pe±uelas,21.6733,-102.301
AGAGES0389,Aguascalientes_Aguascalientes_San José de la Orde±a,21.9508,-102.153
AGAGES0410,Aguascalientes_Aguascalientes_San Pedro Cieneguilla,21.7164,-102.412
AGAGES0422,Aguascalientes_Aguascalientes_Santa Cruz de la Presa (La Tlacuacha),21.8547,-102.379
AGAGES0437,Aguascalientes_Aguascalientes_Soledad de Abajo,21.7786,-102.104
AGAGES0444,Aguascalientes_Aguascalientes_El Tanque de los Jiménez,21.7083,-102.373
AGAGES0479,Aguascalientes_Aguascalientes_Villa Lic. Jesús Terán (Calvillito),21.8242,-102.188
AGAGES0541,Aguascalientes_Aguascalientes_Ciudad de los Ni±os,21.835,-102.369
AGAGES0597,Aguascalientes_Aguascalientes_El Guarda,21.7922,-102.21
AGAGES0667,Aguascalientes_Aguascalientes_El Potrero Nuevo,21.7392,-102.172
AGAGES0863,Aguascalientes_Aguascalientes_Cotorina (Coyotes),21.7517,-102.268
AGAGES0866,Aguascalientes_Aguascalientes_Montoro (Mesa del Salto),21.7556,-102.302
AGAGES1178,Aguascalientes_Aguascalientes_Granjas Fátima,21.7792,-102.35
AGAGES2004,Aguascalientes_Aguascalientes_La Nueva Teresa,21.8772,-102.39
AGASOS0001,Aguascalientes_Asientos_Asientos,22.2375,-102.089
AGASOS0002,Aguascalientes_Asientos_Las Adjuntas,22.0453,-101.922
AGASOS0003,Aguascalientes_Asientos_Adolfo López Mateos,22.1358,-102.206
AGASOS0005,Aguascalientes_Asientos_Amarillas de Esparza (Amarillas),22.0208,-102.001
AGASOS0010,Aguascalientes_Asientos_Caldera,22.16,-102.192
AGASOS0011,Aguascalientes_Asientos_Ciénega Grande,22.1928,-102.02
AGASOS0017,Aguascalientes_Asientos_La Dichosa,22.0475,-102.116
AGASOS0022,Aguascalientes_Asientos_Francisco Villa,22.0875,-101.968
AGASOS0025,Aguascalientes_Asientos_Guadalupe de Atlas,22.2672,-102.03
AGASOS0028,Aguascalientes_Asientos_Jilotepec,22.0378,-102.079
AGASOS0033,Aguascalientes_Asientos_Molinos,22.1628,-102.094
AGASOS0034,Aguascalientes_Asientos_Las Negritas,21.9889,-101.878
AGASOS0039,Aguascalientes_Asientos_Pilotos,22.0372,-101.959
AGASOS0040,Aguascalientes_Asientos_Pino Suárez (Rancho Viejo),22.165,-102.103
AGASOS0041,Aguascalientes_Asientos_El Polvo,22.1331,-102.108
AGASOS0059,Aguascalientes_Asientos_Villa Juárez,22.0939,-102.069
AGASOS0068,Aguascalientes_Asientos_Colonia Gómez Portugal,22.1925,-102.073
AGASOS0243,Aguascalientes_Asientos_San Vicente,22.0503,-102.049
AGCALO0001,Aguascalientes_Calvillo_Calvillo,21.8461,-102.718
AGCALO0002,Aguascalientes_Calvillo_Los Adobes,21.7419,-102.716
AGCALO0009,Aguascalientes_Calvillo_Barranca de Portales,21.8394,-102.804
AGCALO0036,Aguascalientes_Calvillo_La Labor,21.9622,-102.695
AGCALO0041,Aguascalientes_Calvillo_El Maguey,21.9036,-102.636
AGCALO0046,Aguascalientes_Calvillo_Mesa del Roble,21.7633,-102.749
AGCALO0055,Aguascalientes_Calvillo_Ojocaliente,21.8756,-102.675
AGCALO0069,Aguascalientes_Calvillo_Presa de los Serna,21.8064,-102.839
AGCALO0074,Aguascalientes_Calvillo_La Rinconada,21.7892,-102.798
AGCALO0079,Aguascalientes_Calvillo_El Salitre,21.8203,-102.77
AGCALO0084,Aguascalientes_Calvillo_San Tadeo,21.9181,-102.698
AGCALO0087,Aguascalientes_Calvillo_El Sauz de la Labor (El Sauz),21.9986,-102.644
AGCALO0089,Aguascalientes_Calvillo_Tanque de los Serna,21.8936,-102.835
AGCALO0090,Aguascalientes_Calvillo_Temazcal,22.0039,-102.718
AGCALO0095,Aguascalientes_Calvillo_El Terrero de la Labor (El Terrero),22.0244,-102.671
AGCOIO0001,Aguascalientes_Cosío_Cosío,22.3658,-102.297
AGCOIO0026,Aguascalientes_Cosío_La Punta,22.3242,-102.291
AGCOIO0034,Aguascalientes_Cosío_Soledad de Arriba,22.4322,-102.307
AGJEMA0001,Aguascalientes_Jesús María_Jesús María,21.9622,-102.345
AGJEMA0007,Aguascalientes_Jesús María_Los Arquitos,21.9222,-102.386
AGJEMA0030,Aguascalientes_Jesús María_El Chichimeco,21.9989,-102.358
AGJEMA0033,Aguascalientes_Jesús María_General Ignacio Zaragoza (Venadero),21.8794,-102.464
AGJEMA0041,Aguascalientes_Jesús María_Jesús Gómez Portugal (Margaritas),21.9944,-102.289
AGJEMA0104,Aguascalientes_Jesús María_Tapias Viejas,21.8472,-102.535
