ID,Nombre,Lat,Long
Aguascalientes,Aguascalientes,21.8789,-102.3
Baja California,Baja California,32.6633,-115.468
Baja California Sur,Baja California Sur,24.1422,-110.311
Campeche,Campeche,19.8422,-90.5317
Chiapas,Chiapas,16.7528,-93.1167
Chihuahua,Chihuahua,28.6353,-106.089
Ciudad de México,Ciudad de México,19.4404,-99.154
Coahuila,Coahuila,25.4333,-101
Colima,Colima,19.2431,-103.731
Durango,Durango,24.0236,-104.67
Estado de México,Estado de México,19.2922,-99.6539
Guanajuato,Guanajuato,21.0167,-101.257
Guerrero,Guerrero,17.5514,-99.5008
Hidalgo,Hidalgo,20.1225,-98.7361
Jalisco,Jalisco,20.6764,-103.346
Michoacán,Michoacán,19.7017,-101.185
Morelos,Morelos,18.9186,-99.2342
Nayarit,Nayarit,21.5161,-104.894
Nuevo León,Nuevo León,25.6711,-100.308
Oaxaca,Oaxaca,17.0678,-96.72
Puebla,Puebla,19.0433,-98.1972
Querétaro,Querétaro,20.5875,-100.393
Quintana Roo,Quintana Roo,18.5036,-88.3053
San Luis Potosí,San Luis Potosí,22.1474,-100.976
Sinaloa,Sinaloa,24.7992,-107.384
Sonora,Sonora,29.0989,-110.954
Tabasco,Tabasco,17.9906,-92.9281
Tamaulipas,Tamaulipas,23.7361,-99.1461
Tlaxcala,Tlaxcala,19.3167,-98.2386
Veracruz,Veracruz,20.535,-97.4539
Veracruz N,Veracruz N,19.54,-96.9275
Yucatán,Yucatán,20.9678,-89.6217
Zacatecas,Zacatecas,22.7717,-102.575
